"제품명","브랜드명","카테고리","효능","전성분","가격","용량","링크","유해성_점수"
"아쿠아 오아시스 토너","에스네이처","스킨/토너","보습;진정","정제수;다이프로필렌글라이콜;부틸렌글라이콜;글리세린;1,2-헥산다이올;베타인;판테놀;알란토인;파파야열매추출물;글루코노락톤;자일리틸글루코사이드;안하이드로자일리톨;자일리톨;소듐하이알루로네이트;글루코오스;파파인;하이드록시프로필트라이모늄하이알루로네이트;소듐아세틸레이티드하이알루로네이트;하이드롤라이즈드하이알루로닉애씨드;하이알루로닉애씨드;하이드롤라이즈드소듐하이알루로네이트;소듐하이알루로네이트크로스폴리머;포타슘하이알루로네이트;글리세릴아크릴레이트/아크릴릭애씨드코폴리머;피브이엠/엠에이코폴리머","25000","300ml","https://www.hwahae.co.kr/goods/%EC%97%90%EC%8A%A4%EB%84%A4%EC%9D%B4%EC%B2%98-%EC%95%84%EC%BF%A0%EC%95%84-%EC%98%A4%EC%95%84%EC%8B%9C%EC%8A%A4-%ED%86%A0%EB%84%88-300ml-%EB%8D%94%EB%B8%94-%EA%B8%B0%ED%9A%8D-%ED%86%A0%EB%84%88PLUS%ED%86%A0%EB%84%88PLUS%ED%99%94%EC%9E%A5%EC%86%9C/26143?goods_tab=review_ingredients","1.090909090909091"
"1025 독도 토너","라운드랩","스킨/토너","보습;진정;모공/피지","정제수;부틸렌글라이콜;글리세린;펜틸렌글라이콜;프로판다이올;아이리쉬모스추출물;사탕수수추출물;해수;1,2-헥산다이올;프로테아제;베타인;판테놀;에틸헥실글리세린;알란토인;잔탄검;다이소듐이디티에이","15000","200ml","https://www.hwahae.co.kr/goods/%EB%9D%BC%EC%9A%B4%EB%93%9C%EB%9E%A9-1025-%EB%8F%85%EB%8F%84-%ED%86%A0%EB%84%88-500ml/34633?goods_tab=review_ingredients","1.285714285714286"
"원더 세라마이드 모찌 토너","토니모리","스킨/토너","보습;진정","정제수;다이프로필렌글라이콜;글리세린;펜타에리스리틸테트라아이소스테아레이트;글리세레스-26;1,2-헥산다이올;마카다미아씨오일(구명칭);페닐트라이메티콘;하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머;스타이렌/브이피코폴리머;에틸헥실글리세린;병풀추출물;아크릴레이트/C10-30알킬아크릴레이트크로스폴리머;트로메타민;카프릴릭/카프릭트라이글리세라이드;알란토인;하이드로제네이티드레시틴;프로판다이올;판테놀;피토스테릴/옥틸도데실라우로일글루타메이트;세라마이드엔피;소듐하이알루로네이트;로즈우드오일;레몬껍질오일;다이소듐이디티에이;리날룰;리모넨","17000","500ml","https://www.hwahae.co.kr/goods/%ED%86%A0%EB%8B%88%EB%AA%A8%EB%A6%AC-%EC%9B%90%EB%8D%94-%EC%84%B8%EB%9D%BC%EB%A7%88%EC%9D%B4%EB%93%9C-%EB%AA%A8%EC%B0%8C-%ED%86%A0%EB%84%88-500ml/27380?goods_tab=review_ingredients","1.428571428571429"
"다이브인 저분자 히알루론산 토너","토리든","스킨/토너","보습;진정","정제수;부틸렌글라이콜;다이프로필렌글라이콜;1,2-헥산다이올;글리세린;베타인;알란토인;판테놀;쇠비름추출물;트레할로오스;소듐하이알루로네이트;하이드롤라이즈드하이알루로닉애씨드(100ppm);소듐하이알루로네이트크로스폴리머;하이드롤라이즈드소듐하이알루로네이트;소듐아세틸레이티드하이알루로네이트;2,3-부탄다이올;펜틸렌글라이콜;말라카이트추출물;다이소듐이디티에이;에틸헥실글리세린","21000","300ml","https://www.hwahae.co.kr/goods/%ED%86%A0%EB%A6%AC%EB%93%A0-%EB%8B%A4%EC%9D%B4%EB%B8%8C%EC%9D%B8-%EC%A0%80%EB%B6%84%EC%9E%90-%ED%9E%88%EC%95%8C%EB%A3%A8%EB%A1%A0%EC%82%B0-%ED%86%A0%EB%84%88-300ml-%EB%8D%94%EB%B8%94%EA%B8%B0%ED%9A%8D-PLUS%EC%88%98%EB%94%A9%ED%81%AC%EB%A6%BC-20-ml/69574?goods_tab=review_ingredients","1.222222222222222"
"초저분자 히아루론산 토너","이즈앤트리","스킨/토너","보습;진정","정제수;메틸프로판다이올;1,2-헥산다이올;해수;글리세린;베타인;알란토인;부틸렌글라이콜;카프릴릴글라이콜;에틸헥실글리세린;판테놀;잔탄검;말라카이트추출물;다이소듐이디티에이;하이드롤라이즈드하이알루로닉애씨드;펜틸렌글라이콜;자일리틸글루코사이드;안하이드로자일리톨;소듐하이알루로네이트;자일리톨;포타슘하이알루로네이트;글루코오스;다이메틸실란올하이알루로네이트;소듐아세틸레이티드하이알루로네이트;소듐하이알루로네이트크로스폴리머;하이드록시프로필트라이모늄하이알루로네이트;하이드롤라이즈드소듐하이알루로네이트;하이드롤라이즈드칼슘하이알루로네이트;하이알루로닉애씨드;버지니아풍년화추출물;소듐설페이티드하이알루로네이트;편백잎추출물;소듐스테아로일하이알루로네이트;소듐올레오일하이알루로네이트","21000","300ml","https://www.hwahae.co.kr/goods/%EC%9D%B4%EC%A6%88%EC%95%A4%ED%8A%B8%EB%A6%AC-%EC%B4%88%EC%A0%80%EB%B6%84%EC%9E%90-%ED%9E%88%EC%95%84%EB%A3%A8%EB%A1%A0%EC%82%B0-%ED%86%A0%EB%84%88-%EA%B8%B0%ED%9A%8D-300ml-%EB%B3%B8%ED%92%88PLUS200ml-%EB%A6%AC%ED%95%84PLUS%EB%AF%B8%EC%8A%A4%ED%8A%B8%ED%8E%8C%ED%94%84/62479?goods_tab=review_ingredients","1.103448275862069"
"판테놀 베리어 토너","코스노리","스킨/토너","보습;진정","정제수;부틸렌글라이콜;판테놀;다이프로필렌글라이콜;글리세레스-26;나이아신아마이드;1,2-헥산다이올;카카두플럼추출물;병풀추출물;아시아티코사이드;마데카소사이드;세라마이드엔피;얼룩파인애플추출물;파파야열매추출물;귀리가루추출물;락토바실러스/콩발효추출물;락토바실러스/쌀발효물;락토바실러스/인삼뿌리발효여과물;효모/율무씨발효여과물;효모/감자추출물발효여과물;소듐하이알루로네이트;하이드롤라이즈드하이알루로닉애씨드;동백나무씨오일;아시아틱애씨드;마데카식애씨드;리놀레익애씨드;락토바이오닉애씨드;소듐하이알루로네이트크로스폴리머;소듐아세틸레이티드하이알루로네이트;하이드로제네이티드레시틴;프로판다이올;소듐시트레이트;베타인;글리세린;시트릭애씨드;소듐폴리아크릴로일다이메틸타우레이트;하이드록시프로필트라이모늄하이알루로네이트;아데노신;펜틸렌글라이콜;카프릴릭/카프릭트라이글리세라이드;에틸헥실글리세린","22000","205ml","https://www.hwahae.co.kr/goods/%EC%BD%94%EC%8A%A4%EB%85%B8%EB%A6%AC-%ED%8C%90%ED%85%8C%EB%86%80-%EB%B2%A0%EB%A6%AC%EC%96%B4-%ED%86%A0%EB%84%88-205ml-2%EA%B0%9C%EC%9E%85/60295?goods_tab=review_ingredients","1.137931034482759"
"올리고 히알루론산 딥 토너","더랩바이블랑두","스킨/토너","보습","정제수;부틸렌글라이콜;1,2-헥산다이올;글리세린;베타-글루칸;베타인;소듐하이알루로네이트(2,700ppm);판테놀;솔비톨;아세틸글루코사민;글루쿠로닉애씨드;알란토인;토코페롤;에틸헥실글리세린;다이소듐이디티에이","23000","200ml","https://www.hwahae.co.kr/goods/%EB%8D%94%EB%9E%A9%EB%B0%94%EC%9D%B4%EB%B8%94%EB%9E%91%EB%91%90-%EC%98%AC%EB%A6%AC%EA%B3%A0-%ED%9E%88%EC%95%8C%EB%A3%A8%EB%A1%A0%EC%82%B0-%EB%94%A5-%ED%86%A0%EB%84%88-200ml/56188?goods_tab=review_ingredients","1.25"
"하이드라 셀 부스팅 토너","이플미","스킨/토너","보습","정제수;부틸렌글라이콜;글리세린;1,2-헥산다이올;하이드록시아세토페논;알란토인;카보머;알지닌;다이소듐이디티에이;녹차추출물;소듐하이알루로네이트;나이아신아마이드;하이알루로닉애씨드;하이드롤라이즈드소듐하이알루로네이트;하이드롤라이즈드하이알루로닉애씨드;하이드롤라이즈드글라이코사미노글리칸;리보플라빈;폴릭애씨드;판테놀;메나다이온;소듐하이알루로네이트크로스폴리머;소듐아세틸레이티드하이알루로네이트;다이메틸실란올하이알루로네이트;하이드록시프로필트라이모늄하이알루로네이트;바이오틴;사이아노코발아민;아스코빅애씨드;티아민에이치씨엘;피리독신;바이오플라보노이드","34000","400ml","https://www.hwahae.co.kr/goods/%EC%9D%B4%ED%94%8C%EB%AF%B8-%ED%95%98%EC%9D%B4%EB%93%9C%EB%9D%BC-%EC%85%80-%EB%B6%80%EC%8A%A4%ED%8C%85-%ED%86%A0%EB%84%88-400mlPLUS30ml/71966?goods_tab=review_ingredients","1.090909090909091"
"무알콜 뮤신 에센스 토너","비그린","스킨/토너","보습;진정","정제수;부틸렌글라이콜;글리세린;판테놀;1,2-헥산다이올;와일드얌뿌리추출물(7395ppm);카보머;알지닌;병풀잎수;펜틸렌글라이콜;소듐하이알루로네이트;소듐하이알루로네이트크로스폴리머;하이드롤라이즈드하이알루로닉애씨드;에틸헥실글리세린;하이알루로닉애씨드;하이드롤라이즈드소듐하이알루로네이트","17000","150ml","https://www.hwahae.co.kr/goods/%EB%B9%84%EA%B7%B8%EB%A6%B0-%EB%AC%B4%EC%95%8C%EC%BD%9C-%EB%AE%A4%EC%8B%A0-%EC%97%90%EC%84%BC%EC%8A%A4-%ED%86%A0%EB%84%88-150ml/65426?goods_tab=review_ingredients","1.071428571428571"
"어성초 77 수딩 토너","아누아","스킨/토너","보습;진정","약모밀꽃/잎/줄기수(77%);정제수;1,2-헥산다이올;글리세린;베타인;부틸렌글라이콜;아이소펜틸다이올;판테놀;아크릴레이트/C10-30알킬아크릴레이트크로스폴리머;트로메타민;병풀추출물;우엉뿌리추출물;진흙버섯추출물;쇠비름추출물;마트리카리아꽃추출물;체이스트트리추출물;소듐하이알루로네이트;하이드록시프로필트라이모늄하이알루로네이트;소듐아세틸레이티드하이알루로네이트;하이드롤라이즈드하이알루로닉애씨드;하이알루로닉애씨드;소듐하이알루로네이트크로스폴리머;포타슘하이알루로네이트;다이소듐이디티에이","45000","500ml","https://www.hwahae.co.kr/goods/%EC%95%84%EB%88%84%EC%95%84-%EC%96%B4%EC%84%B1%EC%B4%88-77-%EC%88%98%EB%94%A9-%ED%86%A0%EB%84%88-500ml/35620?goods_tab=review_ingredients","1.15"
